"hthwr","htowr","hthtor","hthtop","atawr","atowr","atator","atatop","gw"
0.875,0.625,1,0.5636110901832581,0.375,0.5625,2,0.47090277075767517,"h"
0.875,0.8125,1.375,0.49649304151535034,0.25,0.5,2.125,0.46225693821907043,"h"
0.875,0.8125,1.375,0.4801041781902313,0.375,0.4375,1.875,0.5013194680213928,"h"
0.625,0.375,1.875,0.5093402862548828,0.875,0.8125,1.5,0.5362717509269714,"a"
0.375,0.375,2.875,0.516960084438324,0.5,0.625,2.125,0.4717708230018616,"a"
0.5,0.4375,1.75,0.5054861307144165,0.375,0.625,1.875,0.5173611044883728,"a"
0.25,0.3125,2.375,0.4637152850627899,0.625,0.6875,1.5,0.5318427681922913,"a"
1,0.625,1,0.5619791746139526,0.375,0.3125,2.125,0.464663028717041,"h"
0.75,0.5625,1.125,0.5079514980316162,0.25,0.3125,2,0.4640972316265106,"h"
0.875,0.625,1.375,0.593715250492096,0,0.125,3.125,0.4424305558204651,"h"
0.625,0.75,1.75,0.48082050681114197,0.375,0.5625,1.75,0.5240537524223328,"a"
0.125,0.125,1.75,0.5149305462837219,0.125,0.1875,1.125,0.4777430593967438,"h"
0.625,0.625,1.625,0.5165972113609314,0.625,0.6875,1.125,0.5443008542060852,"a"
0.375,0.4375,1.625,0.44607850909233093,0.125,0.375,1.75,0.4669097363948822,"h"
0.625,0.4375,1.125,0.5484188199043274,0.75,0.75,0.75,0.46013888716697693,"a"
0.375,0.375,1.75,0.515148937702179,0.75,0.8125,1.5,0.4709722101688385,"a"
0.625,0.625,2.25,0.47062501311302185,0.25,0.3125,1.625,0.4958333373069763,"h"
0.625,0.375,1.75,0.45944443345069885,0.75,0.8125,1.25,0.5519791841506958,"h"
0.5,0.5625,1.375,0.5199305415153503,0.625,0.5,1.25,0.49871528148651123,"a"
0.625,0.5,1.5,0.4909403920173645,0.625,0.6875,1.5,0.5545486211776733,"h"
0.25,0.3125,1.375,0.45673611760139465,0.75,0.5625,0.75,0.5260763764381409,"a"
0.5,0.375,1.25,0.48607638478279114,0.25,0.5625,1.875,0.5067708492279053,"h"
0.625,0.625,1.375,0.5019270181655884,0.5,0.625,2.25,0.48180556297302246,"a"
0.625,0.5625,2.25,0.4606190621852875,0.375,0.375,1.375,0.5079861283302307,"a"
0.875,0.75,1.125,0.5663889050483704,0,0.125,3.125,0.480798602104187,"h"
0.75,0.5625,1.375,0.5024999976158142,0.125,0.375,1.875,0.4693402647972107,"h"
0.625,0.75,2,0.485507994890213,0.375,0.4375,2,0.4780208468437195,"h"
0.25,0.1875,1.625,0.5221874713897705,0.125,0.375,2.25,0.42065972089767456,"h"
0.625,0.4375,0.75,0.531701385974884,0.625,0.75,1.5,0.46388888359069824,"h"
0.375,0.3125,2.375,0.5030555725097656,0.75,0.6875,1.875,0.5540956854820251,"a"
0.625,0.6875,1.625,0.48180556297302246,0.25,0.25,1.125,0.48576387763023376,"a"
0.875,0.8125,1.375,0.5119444727897644,0.5,0.5625,2.875,0.4577430486679077,"h"
0.5,0.4375,2.75,0.5235226154327393,0.25,0.4375,3,0.4477083384990692,"h"
0.375,0.5,1.875,0.5097916722297668,0.375,0.6875,1.875,0.4979513883590698,"a"
0.25,0.3125,1,0.44440972805023193,0.25,0.4375,2.375,0.4695138931274414,"a"
0.75,0.625,1,0.5183334350585938,0.25,0.3125,1.5,0.49340277910232544,"h"
0.875,0.75,1.375,0.4915972352027893,0.5,0.4375,1.75,0.4716666638851166,"h"
0.375,0.3125,1.625,0.47866564989089966,0.5,0.6875,1.75,0.5407932996749878,"h"
0.25,0.125,2,0.4850347340106964,0.125,0.1875,2.5,0.4711992144584656,"h"
0.5,0.4375,1.625,0.4951041638851166,0.375,0.5,3.125,0.44024306535720825,"a"
