"hthwr","htowr","hthtor","hthtop","atawr","atowr","atator","atatop","gw"
0.875,0.6875,0.875,0.5152083039283752,0.375,0.5,1.5,0.5067492723464966,"h"
0.875,0.6875,1,0.528289258480072,0.25,0.25,1.5,0.5012331008911133,"h"
0.375,0.4375,1.375,0.4942361116409302,0.5,0.5625,1.125,0.4945138990879059,"a"
0.75,0.5625,1.625,0.5337152481079102,0.625,0.8125,1.75,0.5142708420753479,"a"
1,0.8125,0.5,0.5477083325386047,0.375,0.5625,0.75,0.5105555653572083,"h"
0.75,0.6875,1.125,0.503700852394104,0.375,0.5625,1.875,0.47702834010124207,"a"
0.375,0.4375,1.625,0.48656249046325684,0.5,0.375,0.75,0.5528547167778015,"a"
0.375,0.3125,1.875,0.5119097232818604,0.125,0.3125,2.25,0.49590277671813965,"h"
0.375,0.5,1.375,0.5180208086967468,0.375,0.4375,1.5,0.5002992153167725,"h"
0.625,0.6875,2,0.47479167580604553,0.375,0.5625,0.75,0.5375347137451172,"h"
0.75,0.6875,2.75,0.5174502730369568,0,0.25,1.25,0.464424729347229,"h"
0.5,0.3125,2.125,0.5515277981758118,0.5,0.5625,2.125,0.4562152922153473,"h"
0,0.125,2,0.4827992916107178,0.5,0.5625,1.25,0.5517013669013977,"a"
0.625,0.5625,1.875,0.507361114025116,0.375,0.375,1.25,0.49600693583488464,"a"
0.625,0.5,1.375,0.5050347447395325,0.25,0.375,2.375,0.5054513812065125,"h"
0.5,0.4375,1.625,0.4945991635322571,0.75,0.875,0.75,0.5235416889190674,"a"
0.75,0.625,1.25,0.5129166841506958,0.375,0.4375,1.5,0.45444443821907043,"a"
1,0.8125,1.25,0.523402750492096,0.125,0.4375,1.375,0.49751320481300354,"h"
0.25,0.375,1.875,0.4941997826099396,0.875,0.6875,1,0.5595370531082153,"h"
0.875,0.6875,1.25,0.5227430462837219,0.25,0.5,1.625,0.47218748927116394,"h"
0.5,0.4375,1.375,0.5209375023841858,0.625,0.6875,1.75,0.46038195490837097,"a"
0.625,0.5625,2.25,0.4255208373069763,0.5,0.375,1.875,0.5034943222999573,"h"
0.625,0.5,1.5,0.4652777910232544,0.25,0.3125,1.5,0.5126566886901855,"a"
0.75,0.75,2,0.48708274960517883,0.5,0.6875,1,0.5452309846878052,"h"
0.5,0.5625,1.625,0.538129985332489,0.125,0.3125,1.75,0.5065981149673462,"h"
0.125,0.1875,1.875,0.49720901250839233,0,0.25,1.125,0.45348721742630005,"h"
0.625,0.5,0.625,0.49485424160957336,0.375,0.4375,2,0.5180624127388,"a"
0.125,0.125,1.375,0.47083333134651184,0.625,0.625,1,0.4849652647972107,"a"
1,0.875,0.875,0.5403472185134888,0.375,0.4375,1.875,0.47392362356185913,"h"
0.625,0.4375,2,0.5302083492279053,0.625,0.6875,1.375,0.4884375035762787,"a"
0.375,0.625,1.875,0.5192996859550476,0.75,0.8125,1.25,0.4804166555404663,"a"
0.5,0.3125,1.25,0.49715277552604675,0.75,0.875,1.75,0.504479169845581,"a"
0.375,0.375,1.375,0.5022222399711609,0.25,0.375,1.375,0.5054993033409119,"h"
0.5,0.4375,1.5,0.4942361116409302,0.625,0.6875,1.125,0.534375011920929,"a"
0.25,0.375,1.75,0.49597060680389404,0.625,0.5625,0.75,0.5020486116409302,"h"
0.75,0.5,2.125,0.5396744608879089,0.25,0.3125,1.125,0.501610279083252,"h"
0.375,0.4375,2.25,0.5145833492279053,0.125,0.3125,1.5,0.5100703239440918,"h"
0.75,0.6875,1,0.49693000316619873,0.5,0.625,1.625,0.4763541519641876,"h"
0.875,0.5,1,0.476624459028244,0.25,0.4375,0.875,0.512291669845581,"h"
0.5,0.5625,1.5,0.5123263597488403,0.875,0.8125,1.25,0.5531597137451172,"a"
0.375,0.375,1.625,0.4472102224826813,0.75,0.875,1.875,0.5025814175605774,"a"
0,0.0625,1.875,0.4692361056804657,0.5,0.4375,1.25,0.4724999964237213,"a"
0.375,0.1875,1.625,0.4684374928474426,0.5,0.5,1.375,0.5049999952316284,"a"
0.875,0.6875,1.125,0.5340971946716309,0.625,0.625,1.375,0.5529513955116272,"a"
1,0.875,0.75,0.5243402719497681,0.25,0.375,2.5,0.5159216523170471,"h"
0.5,0.375,1.625,0.4754672348499298,0.375,0.5,1.875,0.48504915833473206,"h"
0.625,0.625,2.25,0.504568338394165,0.875,0.875,1,0.48857638239860535,"a"
0.625,0.5625,2.375,0.4327777922153473,0.375,0.375,1.5,0.500034749507904,"h"
0.5,0.375,1.375,0.45355749130249023,0.5,0.6875,1,0.5641546249389648,"a"
0.5,0.25,1.375,0.4606249928474426,0.5,0.5,1.375,0.48298612236976624,"h"
0.625,0.5,1.25,0.44872790575027466,0.25,0.3125,2.375,0.5175068378448486,"h"
0.5,0.5,1.375,0.5059027671813965,0.5,0.5,1.125,0.5050347447395325,"h"
0.875,0.875,0.375,0.4972916543483734,0.5,0.4375,0.875,0.5365005731582642,"h"
0.625,0.4375,1.375,0.4586111009120941,0.625,0.6875,1.375,0.5228819251060486,"h"
0.5,0.3125,2,0.5507639050483704,0.25,0.1875,2.125,0.4499652683734894,"h"
0.625,0.4375,1.875,0.5214452743530273,0.25,0.5625,1.125,0.5064715147018433,"a"
0.5,0.5625,2.375,0.46685999631881714,0.625,0.4375,1.75,0.5257512331008911,"a"
0,0.0625,1.875,0.47052082419395447,0.75,0.625,0.875,0.5186458230018616,"a"
0.5,0.375,1.625,0.5112847089767456,0.25,0.375,1.875,0.4874652922153473,"a"
0.5,0.4375,1.25,0.49177083373069763,0.75,0.5625,1.25,0.5604051351547241,"h"
0.625,0.625,1.625,0.5169223546981812,0.375,0.5,1.75,0.4538888931274414,"h"
0.75,0.625,1.125,0.5145139098167419,0.375,0.5,1.875,0.4888686239719391,"h"
0.875,0.875,0.375,0.4970833361148834,0.375,0.4375,1.375,0.4720138907432556,"h"
0.625,0.4375,1.375,0.47072917222976685,0.125,0.375,1.75,0.46145832538604736,"h"
0.625,0.5,0.625,0.49381259083747864,0.25,0.375,2.25,0.5177271962165833,"h"
0.625,0.625,1.125,0.476999431848526,0.875,0.8125,1.5,0.554444432258606,"a"
0.625,0.5625,1.25,0.523194432258606,0.125,0.0625,2.25,0.5132638812065125,"h"
0.25,0.25,1.625,0.49954861402511597,0.375,0.625,1,0.49588125944137573,"a"
0.5,0.625,2,0.5480702519416809,0.375,0.25,1.875,0.44082361459732056,"a"
0.375,0.5,1.625,0.5043518543243408,0.375,0.4375,1.375,0.4976041615009308,"h"
0.625,0.5,1.375,0.4578251242637634,0.25,0.375,1.25,0.4972006678581238,"h"
0.25,0.25,1.875,0.4482171833515167,0.5,0.625,2,0.4824305474758148,"a"
0.625,0.4375,1.25,0.5129513740539551,0.5,0.4375,1,0.5318824648857117,"h"
0.25,0.5,1.75,0.5121122002601624,0.625,0.75,1.125,0.550994873046875,"a"
1,0.875,1.125,0.5195833444595337,0.625,0.8125,0.75,0.5296180844306946,"h"
0.75,0.6875,1.75,0.512774646282196,0.625,0.5625,2,0.48268938064575195,"h"
0.75,0.8125,1.75,0.49815914034843445,0.125,0.1875,2,0.5036180019378662,"h"
0.875,0.625,1.125,0.4764513671398163,0.25,0.4375,1.625,0.47826334834098816,"h"
0.875,0.75,1.625,0.5280397534370422,0.5,0.75,1,0.5100347399711609,"h"
0.875,0.875,0.5,0.5129861235618591,0,0.25,1.625,0.4863491952419281,"h"
0.375,0.5,1.75,0.5032021999359131,0.25,0.125,2.125,0.5108718872070312,"a"
0.625,0.5625,1.125,0.5134027600288391,0.375,0.4375,1.25,0.47274306416511536,"h"
0.5,0.5,2,0.5235416889190674,0,0.25,1.375,0.44963306188583374,"h"
0.625,0.625,1.25,0.4783188998699188,0.25,0.4375,2,0.49378472566604614,"h"
0.125,0.25,2,0.4878472089767456,0.5,0.5,1.375,0.5145139098167419,"a"
0.5,0.375,1.25,0.4489394426345825,0.625,0.5625,0.875,0.5235069394111633,"h"
0.625,0.625,2.25,0.49394333362579346,0.75,0.875,1.875,0.4967133700847626,"h"
0.25,0.5,1.625,0.5333941578865051,0.5,0.5625,1.25,0.4471961259841919,"a"
0.375,0.3125,1.75,0.49388888478279114,0.25,0.25,1.375,0.4960547089576721,"a"
0.5,0.5,1.75,0.5119791626930237,0.5,0.5625,1.375,0.49454861879348755,"a"
0.625,0.3125,1.625,0.5494791865348816,0.5,0.4375,1.75,0.5076388716697693,"h"
0.875,0.6875,0.75,0.5173264145851135,0.25,0.4375,1.75,0.4643402695655823,"a"
0.25,0.3125,1.875,0.4872916638851166,0.625,0.4375,1.25,0.5573495626449585,"h"
0,0.125,2,0.47864583134651184,0.75,0.8125,1.25,0.5648958086967468,"a"
0.5,0.375,1.625,0.43657511472702026,0.375,0.3125,1.375,0.5108116269111633,"a"
0.5,0.5,2.25,0.43003472685813904,0.5,0.5,1.125,0.4793402850627899,"a"
0.5,0.4375,0.75,0.48600009083747864,0.125,0.3125,1.375,0.4564386010169983,"a"
0.75,0.6875,1.25,0.4643605649471283,0.125,0.1875,2,0.5111874341964722,"h"
0.625,0.4375,1.125,0.511597216129303,0.375,0.625,1,0.5012847185134888,"a"
0.5,0.5,0.75,0.4988194406032562,0.875,0.875,1.25,0.4912152886390686,"a"
0.875,0.8125,1.75,0.5165972113609314,0.25,0.4375,0.75,0.5209375023841858,"a"
0.75,0.6875,1.25,0.5049999952316284,0.625,0.6875,2.25,0.512256920337677,"a"
0.625,0.75,1.75,0.49545079469680786,0.5,0.5625,1.25,0.49086806178092957,"a"
0.625,0.375,1.25,0.46052083373069763,0.25,0.125,2,0.5158024430274963,"h"
0.125,0.25,1.75,0.49319443106651306,0.75,0.8125,1.75,0.4851161539554596,"a"
0.625,0.4375,1.75,0.5307508707046509,0.25,0.4375,1.875,0.4911458194255829,"h"
0.5,0.5625,2.25,0.5438341498374939,0.625,0.625,2.375,0.4818560481071472,"a"
0.75,0.625,1.25,0.5494097471237183,0.5,0.5,1.125,0.526639461517334,"h"
0.375,0.4375,2.75,0.4345833361148834,0.375,0.3125,1.875,0.4618305563926697,"a"
0.875,0.625,1.125,0.4793333113193512,0.625,0.75,0.625,0.5142360925674438,"a"
1,0.875,1.375,0.5490467548370361,0,0.3125,2.125,0.4703422486782074,"h"
0.375,0.4375,1.5,0.47475695610046387,0.625,0.4375,1.375,0.5864120721817017,"a"
0.5,0.4375,1,0.49034035205841064,0.25,0.375,1.75,0.47923558950424194,"h"
