@relation 'featureTesting_1-weka.filters.unsupervised.attribute.NumericToNominal-R1-4,9-weka.filters.unsupervised.attribute.NominalToString-C1-4,9'

@attribute geid string
@attribute gseason string
@attribute gweek string
@attribute htid string
@attribute hthwr numeric
@attribute htowr numeric
@attribute hthtor numeric
@attribute hthtop numeric
@attribute atid string
@attribute atawr numeric
@attribute atowr numeric
@attribute atator numeric
@attribute atatop numeric
@attribute gw {h,a}

@data
2015102200,2015,7,30,0.5,0.375,1.375,0.453557,31,0.5,0.6875,1,0.564155,a
2015102500,2015,7,7,0.5,0.25,1.375,0.460625,9,0.5,0.5,1.375,0.482986,h
2015102501,2015,7,32,0.625,0.5,1.25,0.448728,3,0.25,0.3125,2.375,0.517507,h
2015102502,2015,7,10,0.5,0.5,1.375,0.505903,5,0.5,0.5,1.125,0.505035,h
2015102503,2015,7,11,0.875,0.875,0.375,0.497292,12,0.5,0.4375,0.875,0.536501,h
2015102504,2015,7,14,0.625,0.4375,1.375,0.458611,4,0.625,0.6875,1.375,0.522882,h
2015102505,2015,7,28,0.5,0.3125,2,0.550764,24,0.25,0.1875,2.125,0.449965,h
2015102506,2015,7,18,0.625,0.4375,1.875,0.521445,20,0.25,0.5625,1.125,0.506472,a
2015102507,2015,7,6,0.5,0.5625,2.375,0.46686,23,0.625,0.4375,1.75,0.525751,a
2015102508,2015,7,8,0,0.0625,1.875,0.470521,21,0.75,0.625,0.875,0.518646,a
2015102509,2015,7,16,0.5,0.375,1.625,0.511285,15,0.25,0.375,1.875,0.487465,a
2015102510,2015,7,27,0.5,0.4375,1.25,0.491771,25,0.75,0.5625,1.25,0.560405,h
2015102511,2015,7,22,0.625,0.625,1.625,0.516922,26,0.375,0.5,1.75,0.453889,h
2015102600,2015,7,29,0.75,0.625,1.125,0.514514,1,0.375,0.5,1.875,0.488869,h
2015102900,2015,8,11,0.875,0.875,0.375,0.497083,10,0.375,0.4375,1.375,0.472014,h
2015110100,2015,8,14,0.625,0.4375,1.375,0.470729,18,0.125,0.375,1.75,0.461458,h
2015110101,2015,8,1,0.625,0.5,0.625,0.493813,16,0.25,0.375,2.25,0.517727,h
2015110102,2015,8,4,0.625,0.625,1.125,0.476999,2,0.875,0.8125,1.5,0.554444,a
2015110103,2015,8,5,0.625,0.5625,1.25,0.523194,8,0.125,0.0625,2.25,0.513264,h
2015110104,2015,8,17,0.25,0.25,1.625,0.499549,20,0.375,0.625,1,0.495881,a
2015110105,2015,8,21,0.5,0.625,2,0.54807,24,0.375,0.25,1.875,0.440824,a
2015110106,2015,8,23,0.375,0.5,1.625,0.504352,27,0.375,0.4375,1.375,0.497604,h
2015110107,2015,8,32,0.625,0.5,1.375,0.457825,30,0.25,0.375,1.25,0.497201,h
2015110108,2015,8,3,0.25,0.25,1.875,0.448217,29,0.5,0.625,2,0.482431,a
2015110109,2015,8,15,0.625,0.4375,1.25,0.512951,12,0.5,0.4375,1,0.531882,h
2015110110,2015,8,25,0.25,0.5,1.75,0.512112,31,0.625,0.75,1.125,0.550995,a
2015110111,2015,8,13,1,0.875,1.125,0.519583,19,0.625,0.8125,0.75,0.529618,h
2015110200,2015,8,22,0.75,0.6875,1.75,0.512775,6,0.625,0.5625,2,0.482689,h
2015110500,2015,9,2,0.75,0.8125,1.75,0.498159,3,0.125,0.1875,2,0.503618,h
2015110800,2015,9,20,0.875,0.625,1.125,0.476451,32,0.25,0.4375,1.625,0.478263,h
2015110801,2015,9,22,0.875,0.75,1.625,0.52804,19,0.5,0.75,1,0.510035,h
2015110802,2015,9,11,0.875,0.875,0.5,0.512986,28,0,0.25,1.625,0.486349,h
2015110803,2015,9,23,0.375,0.5,1.75,0.503202,8,0.25,0.125,2.125,0.510872,a
2015110804,2015,9,9,0.625,0.5625,1.125,0.513403,10,0.375,0.4375,1.25,0.472743,h
2015110805,2015,9,12,0.5,0.5,2,0.523542,7,0,0.25,1.375,0.449633,h
2015110806,2015,9,4,0.625,0.625,1.25,0.478319,15,0.25,0.4375,2,0.493785,h
