@relation 'featureTraining_1-weka.filters.unsupervised.attribute.NumericToNominal-R1-4,9-weka.filters.unsupervised.attribute.NominalToString-C1-4,9'

@attribute geid string
@attribute gseason string
@attribute gweek string
@attribute htid string
@attribute hthwr numeric
@attribute htowr numeric
@attribute hthtor numeric
@attribute hthtop numeric
@attribute atid string
@attribute atawr numeric
@attribute atowr numeric
@attribute atator numeric
@attribute atatop numeric
@attribute gw {h,a}

@data
2010112502,2010,12,12,0.625,0.8125,1.25,0.539028,2,0.125,0.3125,2.375,0.497986,h
2010112800,2010,12,27,0.5,0.5,2.75,0.536042,7,0.25,0.375,2.5,0.505694,h
2010112801,2010,12,9,0.25,0.25,1.125,0.454887,4,0.75,0.6875,1.5,0.520669,a
2010112802,2010,12,5,0.625,0.5625,1.25,0.510208,8,0.5,0.5,1.25,0.456667,h
2010112803,2010,12,28,0.25,0.375,1.375,0.44841,20,0.125,0.4375,2,0.483851,a
2010112804,2010,12,17,0.625,0.625,2,0.486565,26,0.625,0.6875,1,0.494132,h
2010112805,2010,12,21,0.875,0.75,0.75,0.534931,19,0.5,0.6875,1,0.519439,h
2010112806,2010,12,1,1,0.75,0.875,0.521185,24,0.75,0.5625,1.25,0.515752,h
2010112807,2010,12,3,0.625,0.4375,1.75,0.505852,22,0.125,0.25,2,0.442014,h
2010112808,2010,12,31,0.5,0.375,2.125,0.440833,14,0.375,0.5,1.375,0.520616,a
2010112809,2010,12,15,0.5,0.4375,1.75,0.50355,10,0.75,0.5,2,0.541277,a
2010112810,2010,12,13,0.25,0.25,1.5,0.488611,32,0.125,0.3125,2,0.502841,a
2010112811,2010,12,6,0.75,0.5625,1.5,0.497049,16,0.5,0.6875,1.75,0.549861,a
2010112900,2010,12,29,0.5,0.375,2.125,0.453924,30,0.25,0.4375,1.75,0.507153,a
2010120200,2010,13,26,0.75,0.6875,1.5,0.530347,5,0.5,0.5625,1.25,0.47545,h
2010120500,2010,13,20,0.75,0.4375,2.25,0.542276,9,0.25,0.25,2.75,0.488627,h
2010120501,2010,13,10,0.125,0.4375,1.875,0.490208,3,0.375,0.5,1.25,0.467049,a
2010120502,2010,13,8,0.375,0.4375,2.75,0.419144,7,0.375,0.4375,2.25,0.527708,a
2010120503,2010,13,14,0.75,0.5625,0.875,0.49741,13,0.125,0.1875,1.25,0.469028,h
2010120504,2010,13,27,0.625,0.5625,2.375,0.535417,28,0.5,0.375,2,0.481926,h
2010120505,2010,13,18,0.25,0.125,1.375,0.496716,17,0.75,0.6875,2,0.505278,a
