"geid","gseason","gweek","htid","hthwr","htowr","hthtor","hthtop","atid","atawr","atowr","atator","atatop","gw"
"2010101705",2010,6,27,0.625,0.5,2.75,0.512932300567627,18,0,0.125,2.875,0.47663193941116333,"h"
"2010101706",2010,6,26,0.625,0.6875,1.75,0.4997222125530243,21,0.5,0.625,1.375,0.5201995968818665,"h"
"2010101707",2010,6,17,0.5,0.4375,1.375,0.4663570821285248,31,0.25,0.4375,2,0.43968749046325684,"a"
"2010101708",2010,6,24,0.25,0.375,2.25,0.46552082896232605,23,0.75,0.6875,1.5,0.5256467461585999,"a"
"2010101709",2010,6,13,0.25,0.25,1.75,0.5081250071525574,12,0.875,0.6875,1.125,0.5327430367469788,"a"
"2010101710",2010,6,30,0.625,0.375,2.125,0.5277430415153503,15,0.25,0.3125,1.5,0.5014930367469788,"h"
"2010101711",2010,6,20,0.875,0.5625,1.5,0.5793750286102295,25,0.5,0.5625,1.125,0.5512847304344177,"h"
"2010101712",2010,6,28,0.375,0.3125,1.375,0.48029759526252747,6,0.625,0.75,1.875,0.45732638239860535,"a"
"2010101800",2010,6,7,0.5,0.375,1.125,0.5130208134651184,8,0.75,0.6875,1.25,0.4775347113609314,"a"
"2010102400",2010,7,21,0.75,0.625,1.375,0.5098611116409302,2,0.125,0.4375,2,0.5093402862548828,"h"
"2010102401",2010,7,10,0.25,0.4375,2,0.5006250143051147,4,0.625,0.625,1.625,0.5389260649681091,"a"
"2010102402",2010,7,1,0.875,0.6875,1,0.5145534873008728,9,0.25,0.25,2.375,0.4723910689353943,"h"
"2010102403",2010,7,14,0.5,0.4375,1.625,0.4519418776035309,7,0.25,0.375,2.5,0.4710416793823242,"h"
"2010102404",2010,7,23,0.5,0.625,2,0.49036911129951477,3,0.25,0.375,1.75,0.4658333361148834,"a"
"2010102405",2010,7,17,0.5,0.4375,2,0.4748292863368988,28,0.375,0.375,1.375,0.4867708384990692,"a"
"2010102406",2010,7,22,0.5,0.4375,2,0.511631965637207,30,0.125,0.375,1.75,0.4640972316265106,"h"
"2010102407",2010,7,24,0.375,0.4375,1.875,0.4750347137451172,32,0.125,0.25,2.25,0.4688728153705597,"h"
"2010102408",2010,7,8,0.625,0.6875,2.5,0.4507579505443573,26,0.75,0.6875,1.25,0.4732638895511627,"h"
