"geid","gseason","gweek","htabbr","hthwr","htowr","htcwr","hthtor","hthtop","atabbr","atawr","atowr","atcwr","atator","atatop","gw"
"2015101101",2015,5,"KC",0.625,0.5,0.4399999976158142,1.5,0.4652777910232544,"CHI",0.25,0.3125,0.5,1.5,0.5126566886901855,"a"
"2015101102",2015,5,"CIN",0.75,0.75,0.5799999833106995,2,0.48708274960517883,"SEA",0.5,0.6875,0.5699999928474426,1,0.5452309846878052,"h"
"2015101103",2015,5,"ATL",0.5,0.5625,0.5899999737739563,1.625,0.538129985332489,"WAS",0.125,0.3125,0.3400000035762787,1.75,0.5065981149673462,"h"
"2015101104",2015,5,"TB",0.125,0.1875,0.3100000023841858,1.875,0.49720901250839233,"JAC",0,0.25,0.30000001192092896,1.125,0.45348721742630005,"h"
"2015101105",2015,5,"BAL",0.625,0.5,0.6200000047683716,0.625,0.49485424160957336,"CLE",0.375,0.4375,0.3100000023841858,2,0.5180624127388,"a"
"2015101106",2015,5,"TEN",0.125,0.125,0.39393940567970276,1.375,0.47083333134651184,"BUF",0.625,0.625,0.38999998569488525,1,0.4849652647972107,"a"
"2015101107",2015,5,"GB",1,0.875,0.7099999785423279,0.875,0.5403472185134888,"STL",0.375,0.4375,0.3199999928474426,1.875,0.47392362356185913,"h"
"2015101108",2015,5,"DET",0.625,0.4375,0.4000000059604645,2,0.5302083492279053,"ARI",0.625,0.6875,0.5199999809265137,1.375,0.4884375035762787,"a"
"2015101109",2015,5,"DAL",0.375,0.625,0.550000011920929,1.875,0.5192996859550476,"NE",0.75,0.8125,0.7676767706871033,1.25,0.4804166555404663,"a"
"2015101110",2015,5,"OAK",0.5,0.3125,0.3400000035762787,1.25,0.49715277552604675,"DEN",0.75,0.875,0.6200000047683716,1.75,0.504479169845581,"a"
"2015101111",2015,5,"NYG",0.375,0.375,0.5099999904632568,1.375,0.5022222399711609,"SF",0.25,0.375,0.5899999737739563,1.375,0.5054993033409119,"h"
"2015101200",2015,5,"SD",0.5,0.4375,0.5699999928474426,1.5,0.4942361116409302,"PIT",0.625,0.6875,0.6200000047683716,1.125,0.534375011920929,"a"
"2015101500",2015,6,"NO",0.25,0.375,0.6237623691558838,1.75,0.49597060680389404,"ATL",0.625,0.5625,0.594059407711029,0.75,0.5020486116409302,"h"
"2015101800",2015,6,"DET",0.75,0.5,0.39603960514068604,2.125,0.5396744608879089,"CHI",0.25,0.3125,0.5049505233764648,1.125,0.501610279083252,"h"
"2015101801",2015,6,"NYJ",0.375,0.4375,0.49000000953674316,2.25,0.5145833492279053,"WAS",0.125,0.3125,0.3366336524486542,1.5,0.5100703239440918,"h"
"2015101802",2015,6,"PIT",0.75,0.6875,0.6237623691558838,1,0.49693000316619873,"ARI",0.5,0.625,0.5247524976730347,1.625,0.4763541519641876,"h"
"2015101803",2015,6,"MIN",0.875,0.5,0.44999998807907104,1,0.476624459028244,"KC",0.25,0.4375,0.4356435537338257,0.875,0.512291669845581,"h"
"2015101804",2015,6,"BUF",0.5,0.5625,0.39603960514068604,1.5,0.5123263597488403,"CIN",0.875,0.8125,0.5841584205627441,1.25,0.5531597137451172,"a"
"2015101805",2015,6,"CLE",0.375,0.375,0.31683167815208435,1.625,0.4472102224826813,"DEN",0.75,0.875,0.6237623691558838,1.875,0.5025814175605774,"a"
"2015101806",2015,6,"TEN",0,0.0625,0.38999998569488525,1.875,0.4692361056804657,"MIA",0.5,0.4375,0.4399999976158142,1.25,0.4724999964237213,"a"
"2015101807",2015,6,"JAC",0.375,0.1875,0.2970297038555145,1.625,0.4684374928474426,"HOU",0.5,0.5,0.48514851927757263,1.375,0.5049999952316284,"a"
